English,中文
Hide UI,隐藏UI
Language,语言
Cube Arc,方星
"It is the year 207X. Strange cubes have been discovered around Saturn. They are smooth and reflective, and bigger than anything around earth.\nProbes and rovers were sent but destroyed before they got to the surface by the interference around the cubes. An expedition crew was sent and disappeared too.\nEverybody on earth is following the mystery. What is it? How is it here?\nWho put it here?",时值207X年，神秘的方块被发现在土星附近。他们光滑而坚固，巨大而坚不可摧。\n运送上去的探测器和漫游者都消失不见了，一队人类探险队也遭受了同样的命运。\n所有人类都对这个神秘的方星充满好奇。\n它是什么？怎么来的？是谁把它放在了那里？
Reset Camera,重置相机
Start,开始
AUTO,自动
Collected:,已收集：
Got It,收到
Flavedo - programmer/designer\nsourlyx - sound designer/composer\nChapstic593 - 3d artist/ modeler\nToucan - narrative,Flavedo - 程序/设计\nsourlyx - 音乐/音效\nChapstic593 - 美术/建模\nToucan - 剧情
Pan to look around\nPinch to zoom\nPress Start to move,平移可以旋转视角，捏合可以放大缩小。点击开始移动。
Click U turn to turn back.,点击掉头图标回头。
You can press Reset Camera to follow player.,你可以点击重置相机来跟随机器人。
"Move priority at intersection: Forward, Right, Left, Turn Back. If one direction is blocked, you will try the next in order.",交叉路口移动优先级：向前，向右，向左，回头。如果一个方向不能行进，会选择下一个方向。
You will pull levers to rotate the road when you walk by.,你走过拉杆时会拉动拉杆，旋转路面。
Signs will force turning in that direction... If you can,方向标志会强制你左转，如果你能够左转。
Turning Left is based on robot orientation,左转时基于机器人面向的方向。
Click Swim button to.. Swim,点击游泳按钮来……游泳。
Sometimes you might want to turn off swimming,有时候你可能需要关掉游泳状态。
Do you want to clear your previous data and restart the game?,你想要清除之前的数据并重新开始游戏么？\n（之前的广告信息也会被清除）
Do you want to watch an ad and get hint? The level will restart and play automatically for you.,你想要看广告得到提示么？关卡会重启，并自动播放提示。
Do you want to watch an ad and get hint? ,你想要看广告得到提示么？
Do you want to play hint? The level will restart and play automatically for you.,你想要播放提示么？关卡会重启，并自动播放提示。
Do you want to play hint? ,你想要播放提示么？
Do you want to stop playing hint?,你想要停止播放提示么？
The level will restart and play automatically for you.,关卡会重启，并自动播放提示。
Collected In Total,总共收集
Return,返回
Level Selection,选择关卡
Restart,重新开始
Levels,关卡
Yes,是
No,否
Collected In Level,本关卡已收集
Level,关卡
Next,下一关
End,结束
